,name,review,words,힐링,혼자,자연,액티비티,addr1,cat1,cat2,cat3
0,2018 평창동계올림픽대회 및 동계패럴림픽대회 기념관,"이런곳이 있을거라고 상상도 못하고 갔다가 우연히 발견했어요 동생이 원래 올림픽을 엄청 좋아하지만 여기 다녀오고나서 더 좋아하네요 ㅎㅎ 
마을주민분들이 봉사활동하시면서 설명해주셨었는데
성함이 기억나지는 않지만 연세가 좀 있으셨던 짧은 컷트머리 여성주민분께서 너무 알차고 재밌게 설명해주셨던게 아직도 기억에남아요~ 
추후에 또 방문하게되면 한번쯤은 더 가보고싶어요 ㅎㅎ
체험할수있는것도 많았고 은근히 재밌었어요 
VR체험도 있고 아이들과 함께 방문하기 괜찮아요
너무너무 시설이 잘 되어있어요 깨끗하고 직원분을도 매우 친절하십니다 vr 체험도 다양하고 완전 재미있어요 무료인데 이런 전시라니 꼭 가보시길
볼거리가 가득한고 알찬곳이었습니다! 아이와 함께 너무 유익했어요! 체험 직원분들이 너무 친절하셨고, 봅슬레이, 컬링, 스키점프 등 체험이 가능해서 너무 신기했습니다👍🏻
여러번의 도전 끝에 '뼝짱' 이라고 발표하고 환호하던 순간부터
올림픽 폐막까지 강원도 사람들은 다 알죠. 수많은 이들이 얼마나 애를썼는지. 성공적으로 올림픽을 마치고 그 역사를 한눈에 볼 수 있어 유익했습니다. 다시금 가슴이 벅차올랐어요. 선수들이 직접 기증한 물품들부터 캐릭터 등등 볼거리도 다양해서 좋았어요.
많은 이들이 찾아와 평창 올림픽을 오래도록 기억했으면 좋겠어요.
평창 올림픽을 위해 지어진 많은 시설들이 없어지지 않고 오래오래
미래의 국가대표를 위해 메달리스트를 위해 이용되어졌으면 하는 바람!

평창겨울에 놀러갔는데 숙소가 근처라서 한번가봤는데
직원분들도 너무 친절하시고 ㅎㅎ 여유롭게 구경하고 체험하고와서 너무 좋았어요!! 추천추천!!
감동적인 전시도 있고 체험 프로그램도 재밌어요
부모님과 함께 예약 후 찾아왔는데 여러 선수들의 기증품과 다양한 평창올림픽 물품들이 전시되어있어서 너무 재밌게 즐겼습니다. 또한 미니게임도 즐길 수 있어서 더 다양하고 즐거운 경험이였어요ㅎㅎ
무료인데 시설도 좋고 체험도 많아서 좋았어요 체험할 수 있는것들이 아이들이 할만한건 별로 없어서 아쉬웠고 또 점검중이라서 아이가 더 아쉬워했어요ㅠㅠ 다음에도 평창에 오면 들리고 싶은 곳입니다^^
정말  유익했어요
 무료관람이고 네이버 예약으로 시간예약하고 방문
동계스포츠 역사부터 성화 메달 선수들이 기증해주신 선수복 운동복들  등등
체험도 있어서 정말 아이에게 유익했습니다.
엘베내려와서 마주친 아이돌 클라쎄분들
넘 이뻤는데  사진 찍어달라고 못해서 내내 후회중이에요

",추천 다시금 가슴 올림픽 체험 이 직원 아이 기억 컬링 체험 아이 평창 선수 위해 수 예약 기증 무료 더 체험 올림픽 전시 직원 곳 방문 설명 주민 더 기억,X,X,X,X,강원특별자치도 평창군 대관령면 올림픽로 220,A02,A0206,A02060200
1,518기념문화센터,좋아요 ,,X,X,X,X,광주광역시 서구 내방로 152 (쌍촌동),A02,A0206,A02060300
2,BNK부산은행조은극장,"오랜만에 연극보러 방문한 부산조은극장!
크레이지패밀리 배우분들 하나하나 특색있고 재밌어서 넘 즐겁게 봤어요~
표정연기에 감탄하고 발성에 또 감탄 ㅎㅎㅎ
담에 또 보러갈께요! 역시 남포 조은극장👍
잼나게 연국 봄
서울대학로에 가 본 곳보다 좌석이 편하고 깔끔해서 좋았고
배우분들의 실력과 열정에 또 한번 감명받았습니다
작품도 좋구요 시간되는대로 다른 공연들도 다 보고 싶네요
부산에도 소극장이 많이 생겼으니 연극 못 보신 분들은 많이 즐기셨으면^^ 영화와는 다른 생생한 매력과 호흡이 너무 좋습니다
마지막에 배우분들과의 사진 타임도 있는데 부끄러워서;; 나가면서 따봉만 날리고 왔네요ㅜ
배우님들 너무 수고 많으셨습니다 감사합니다~
좋아요
굿
다양한 스토리의 연극공연이 있습니다
배우들의 연기도 탄탄하고 좋았습니다.
너무친절해요~
굿
너무 재밌어용
2번째 보는데 계속 봐도 잼있어요^^",부산 연극 조은극장 방문 만 계속 굿 배우 공연 다른 또 감탄 하나 연기 특색 크레이지 패밀리 표정 담 발성 배우 다른 공연 굿 분 실력 한번 남포 조은극장 봄,X,X,X,X,부산광역시 중구 구덕로34번길 4 (남포동2가),A02,A0206,A02060600
3,CECO 창원컨벤션센터,"볼게 없네요!! 비추~
세코 주차장입니다.
주차비가 저럼해요..
실리콘 국자외 
대나무 수세미 행주 
등밀이 그리고 파래김  어묵등 사와엇요
CECO행사시 항상 사용하지만 편리하고 이용료도적당합니다
주차비용 괜찮네요
박람회 다녀왔어요
...
시설도  깨끗하고 직원분들도  친절합니다.
ㅇ
굿굿",굿굿 볼 세코 주차장 차비 행사 박람회 외 사용 실리콘 료 시 국자 대나무 항상 어묵 등 비용 이용 파래 세코 주차장 볼 굿굿 행사 행주 외 김 파래 차비,X,X,X,X,경상남도 창원시 의창구 원이대로 362,A02,A0206,A02060400
4,CGV 센텀시티,"영화보면서 먹기좋은 팝콘~
카라멜&치즈의 단짠단짠 조합 굿
영화보면서 맛있게먹고갑니다
범죄도시4 봤습니다!!!(쿠키X)
시리즈가 거듭날수록 별로일것같았는데
크게홍보를 안해도 사람들이 많이 관람하네요:)
장이수의 매력+무열씨의2인자 눈에 계속 들어오네요
영화관이 2관이면 끝나자마자 7층 화장실쪽으로 나오네요(가까워요ㅎㅎ) 
센텀cgv 2관 4DX관은 무조건 F열 6789/ G열 6789 추천❤️ㅎㅎㅎㅎ그리도 듄은 4DX가 최고네요ㅋㅋㅋㅋㅋ모래폭풍이랑 몇번이나 모래벌레를 탔는데 재미났어욬ㅋㅋㅋ!!!!! 듄3도 기대됩니다(쿠키는없음)
요즘 핫한 파묘 영화~~아이가 보고 싶어해서 같이 봤는데 강추~~은근히 무섭고 스토리가 재미있어요
셀프티켓팅이라 뒤에줄이 길어 후다닥 표를 비는자리 끊었더니 커플석?이네요~  이런자리가 있는지도 몰랐는데;;  ㅎ 
일반좌석보다 가격은 더 비싸겠지만 어쨌든 좋은경험 했어요~^^
넓은만큼 사람많아서 영화시간 기다리는 동안 앉아있을 자리 찾기힘드네요 
25시30분영화를 몇년만에 보러 온건지 모르겠어요
새벽시간 넓은 지하주차장3층  불이 다 갑자기 꺼져서 껌껌해서 넘 무서웠어오ㅡ

센텀시티 씨쥐비 영상 화질도 좋고 주차하기 편해서 영화보기 좋습니다. 간식 거리도 알차게 구성되어있어서 좋네요. ^^
버터오징어 굿굿",관 열 사람 듄 쿠키 층 최고 영화관 쪽 크게 영화 자리 시간 사람 층 쿠키 듄 후다닥 갑자기 주차장 영화 먹기 단 팝콘 조합 도시 굿 카라멜 범죄 치즈,X,X,X,O,부산광역시 해운대구 우동 1495 신세계백화점센텀시티점,A02,A0206,A02061200
5,CICA 미술관,"너무좋았어요
마당이 예쁘지만 입장료 내고 음료값 따로 내야됩니다.
전시는 1층 볼거 없고 2층도 출처 불명한 그림들이 있고 3층만 작가 전시있어요.
뭘할까요? 설명한 사람도 없고 대부분 그림이 제목도 없어요. 관리 잘 안되는 느낌이 들어요.


미술관이 좀 공장단지이지만 안에 들어가면 잔디밭도 멋집니다
아이와 체험하고 왔어요. 또 오고 싶다고 해서 다음에 오려합니다. 
좀 비싼거같아요
View 가 좋아요

미술관+카페 조합
마당도 있어서 뷰 너무좋아용
전시회 규모는 매우 작아요
잔디밭이 넓고 좋은데 카페 이용해야한대요
저는 전시회봐서 잔디밭에서 쉬었어요
색 다른 전시",마당 음료 내야 입장료 값 요 뭘 느낌 다음 또 층 전시 그림 작가 출처 불명 사람 대부분 제목 설명 잔디밭 카페 전시회 미술관 좀 저 규모 다른 조합 뷰,O,X,X,O,경기도 김포시 양촌읍 삼도로 196-30,A02,A0206,A02060500
6,CJ아지트광흥창,,,X,X,X,X,서울특별시 마포구 창전로 14 (신정동),A02,A0206,A02060600
7,CXC아트뮤지엄,"1월에 얼리버드로 예약, 실제 관람은 2월 21일. 예전에 헬가 스텐첼 전시회가 열렸던 곳인데 다른 경로로 가다보니 또 헤맴. 일단 2층 롯데씨네마로 가서 에스컬레이터를 타고 3층 전시장으로 이동하는 게 가장 찾기 쉬운 방법인 듯. 전시는 알차게 잘 구성돼있음. 전시 특성상 이야기는 모른 채로 원화만 본다는 게 아쉽지만 상상력이 풍부한 이들에겐 오히려 좋을 수도~. 하이케 팔러의 훌륭한 동화인 <100인생그림책>에서 아이디어를 얻은 매력적인 체험이벤트가 있는데 참여해서 그리면 나중에 그책처럼 만들어질 거라 하니 참여하면 좋을 듯! 훌륭하고 재밌는 많은 동화책들을 모두 읽어볼 수 있어 아주 좋음. 그러려면 시간을 넉넉잡고 방문하시길. 기념품샵에 있던 이경국 작가의 동화 [개꿈] 속 삽화로 만든 자석책갈피 구입
볼로냐 일러스트 원화저 sns 이벤트에 당첨되어 운좋게 다녀왔습니다. 색감이 다채로웠고 각 작가님들의 그림과 설명을 보고 들으며 즐겼습니다. 다음 전시가 기대됩니다!
전시막바지에 다녀왔습니다
아이와 즐거운시간이였습니다
전시 넘 좋아요~
좋은 전시회 감상 잘했어요. 직접 컷아웃과 실크스크린을 체험해 볼 수 있는 공간도 좋았고 앙리 마티스의 대표적인 작품을 두세개 정도 밖에 몰랐었는데 훨씬 더 많은 작품들을 볼 수 있어서 영광이었습니다~ 
전시 자체 규모는 크지 않고 원작은 삽화 정도라 좀 아쉽네요
마티스 특별전 관람하고 굿즈 구입했어요. 아기자기한 굿즈가 많아서 구경하는 재미가 있네요. 마그넷과 모빌 구입했어요.
생각보디 전시장이 작았어요 가볍게 볼만 합니다
헬가 스텐첼 사진전 다녀왔어요! 평일 저녁이라 쾌적하게 보고 왔습니다
전시 후 소장가치있는 굿즈를 구입할수있어 좋았습니다 ",전시 보고 원화 게 작가 이야기 수도 특성 채 후 볼 구입 수 마티스 작품 삽화 정도 시간 전시 관람 참여 듯 층 전시장 헬가 스텐첼 전시회 동화 이벤트 체험,X,X,X,X,서울특별시 광진구 자양동,A02,A0206,A02060300
8,GS칼텍스 예울마루,"장도 방문해서 장도 입주작가 전시회봤습니다
전시 잘보고 왔어요^^
공연 보기 좋고, 4층 매표소쪽에서 내려다보이는 뷰가 정말 좋아요 :) 
너무 좋은 시간이었다.
나이스

가격 저렴하고 사진 멋져요

뷰가좋아요~~시간잘맞춰가면 사장님께서 직접 연주하는것도 볼 수 있어요~~~!!!맛보단 뷰맛집😛😛
주문하고 좀 느려여",뷰 맛 좀 맛집 주문 시간 장도 작가 층 전시 뷰 시간 사장 가격 나이스 직접 수 사진 연주 볼 장도 공연 매표소 쪽 보기 뷰 전시회 정말 방문 시간,X,X,X,O,전라남도 여수시 예울마루로 100,A02,A0206,A02060300
9,HAPPY700 평창시네마,"평창시네마 최고!! 너무 잘 감상하고 왔어요!
문화의 날 최고!!!천원에 영화를 볼수있어서 좋아요❣️
영화보기 좋아요
문화의 날
너무 좋아요
가성비가 좋아요
영화보러왔어요
평창 여행중에 '잠' 보러 왔어요. 이른 아침이라 나와 신랑이 영화관을 독차지 했어요 ㅎㅎ
몇번 놀라고 괜찮은 영화였어요.
몇 번째 들렀지만 항상 깨끗하게 관리되어 있고 직원들 친절하여 좋아요. 
하늘이 높고 예쁜날에 영화보고 갑니다.
영화보기 좋아요
조촐하게 영화보고 좋네요~
위시봤습니다.",영화 보고 아침 영화관 몇번 신랑 독차지 위시 몇 직원 영화 평창 날 보기 문화 비 잠 가성 천원 여행 최고 날 문화 평창 시네마 감상 하늘 영화 보고 보기,X,X,O,O,강원특별자치도 평창군 용평면 경강로 1689,A02,A0206,A02061200
