,name,rate,review
0,가곡유황온천&스파,,"25일아침에 눈이 내려 더 없이 좋았어요~~  남부지방에 살고 있어서 겨울에 눈 볼일이 잘 없거든요...  합리적인 가격으로 숙박하고 눈도 실컷 볼 수  있어서 좋았어요. 
아래에 두명 위쪽에 두명자면 4인가족이 자도 넉넉하고 식기류도 4인 기준이었어요. 관리가 잘 되어 있어 시설이 깔끔해서 기분 좋은 여행이었어요^^"
1,가곡유황온천&스파,,"산골마을에 있는 온천으로 뷰가 끝내줍니다. 
엄청 조용하고 앞 냇가 물소리 밖에 안들려요. 

옆 캠핑장에서 숙박하면 20%할인권 주고요
온천물이 너무 부드럽고 
동네가 깨끗해서 힐링하기 좋아요.

한번쯤은 멍 때리면서 사람많지 않은 곳에서
쉬기 좋은곳입니다 :)"
2,가곡유황온천&스파,,"경치가 좋고 조용한 편입니다~ 
화장실 천장이 좀 낮아서 키 큰 분들은 불편할 것 같아요. 
내부에 전자레인지 인덕션 커피포트 있어서 좋구요
주변에 편의점 하나 있어요. 
온천도 이용했는데 깨끗하고 좋았습니다~"
3,가곡유황온천&스파,,"온천이랑 카라반 이용했습니다^^
물 따뜻해서 좋았고
카라반 깨끗해서 좋았어요~!!
즐거운 주말 보냈습니다~!"
4,가곡유황온천&스파,,"온천, 스파 너무 만족하고 아이가 너무 즐겁게 잘 놀고 좋아하네요. 원래 하루만 하려는 스파는 이틀 연속으로 하게 되었고 숙소 또한 너무 따뜻하게 잘 쉬다 왔어요 바닥도 뜨듯하고 냉,난방기도 있어 공기도 따뜻하게 잘 보내다 옵니다. 다음에는 부모님 모시고 올 예정입니다ㅎ"
5,가곡유황온천&스파,,"방학 끝나기 전 마지막 겨울을 즐기러 갔어요
어쩌다 알게 된 삼척 온천인데 검색해보니 캠핑장이 있어거 혹시나 예약이 가능할까 싶었는데 금요일이라 가능했어요^^ 
전날 강원도에 갑자기 예정에 없던 눈이 많이 내려 가기 전에 교통 때문에 좀 걱정했는데 다행히 제설이 잘되어 있어서 잘 도착했었고 도착해서 보이는 풍경이 정말 말을 못할 정도로 아름다웠습니다 캠핑카 안에는 바닥 난방을 하고 냉난방기가 있는데 너무 건조해질거 같아 냉난방기는 사용을 안했구요 따로 전기장판 가지고 가서 침대에 깔고 썼어요 아무래도 카라반은 공기가 많이 차갑네요^^;;; 캠핑장 바로 뒤에 cu편의점조 큰게 있어서 좋았습니다. 다음에 또 오려구요 "
6,가곡유황온천&스파,,"가곡캠핑장 이용시 20프로 할인도 해주시고
무엇보다 가격이 합리적입니다
또한 일하시는 분이 너무 친절하시고 좋았어요
바로앞이 물놀이 할수있는 깨끗한 냇가가 있어 여름에 다시 와도 좋을듯 합니다~^^"
7,가곡유황온천&스파,,"카라반 2박하고 2박 3일 동안 스파에 갔어요.
숙박하면 20% 할인되서 4인 가족 45,000원에 이용하니 가격도 합리적이라 좋았고요.
평일이라 사람이 없어서 전세 낸 것처럼 놀았어요.
카라반도 넓고 깔끔해요~ 아이들이 무척 좋아했어요."
8,가곡유황온천&스파,,유황 온천물이 좋음~ 
9,가곡유황온천&스파,,"온천물이 너무 좋았어요^^ 물놀이 잼나게하고 피부미인되서 나왔네요^^  가격도 부담없어 너무 좋네요^^
근데 스파(물놀이장)이용시 아쿠아슈즈 쳉겨가세요^^  조금 미끄러워요 ㅋ"
