,name,review,words,힐링,혼자,자연,액티비티,addr1,cat1,cat2,cat3
0,1004 뮤지엄파크,"자은도에 입도하자마자 너누 예쁜 벽화를 만나게되어
요  어쩜 아이디어가 정말 기가막힙니다 ㅎㅎㅎ 예쁜 
벽화를 뒤로하고 방문한 뮤지엄파크는 사실 볼...
신안 은자동 1004뮤지엄파크 조개박물관. 자생식물
뮤지엄.새우란전시관.수석박물관 볼거리많고 놀거리
도 많고 아이들과 오면 참 좋을것같아요!!!
주변 경관은 정말 좋습니다. 조경도 좋고 그렇지만 내
부 박물관 3곳을 도는 패키지의 입장료가 아까운 곳
이었습니다.  차라리 세곳을 따로 3천원씩 받으...
넓게 펼쳐진 해변가도 좋았고 수석미술관 앞에 꾸며진 정원이 꽃피면 더 볼만하대서 나중에 한번 더 갈 예정~!
내부 직원분들도 친절하시고 여유롭게 둘러보기 좋았습니다. 헌데 1만원의 입장료값을 하는지는 살짝 의문이 듦.
입장권 하나로 수석정원.바닷가.새우란전시.조개박물
관까지 다 볼수있어 넘 좋아요. 시간을 여유있게 갔으
면 더 좋았겠다 싶어요. 날씨가 좋았음 노을까...
체험할 게 곳곳에 있어 아이랑 오기 좋아요  놀이터도
있어 한참을 놀았어요  직원 분들 모두 친절하시고 
신안 왔으니 한 번 와보기 좋습니다
천사뮤지엄 파크에 왔습니다. 바람이 무지 많이 붑니
다. 어제는 더 세게 불어 오지 못해 오늘 왔는데 오늘
도 어제못지 않게 바람이 부네요. 아직 공사한...
전남서포터즈 가입하면 여기저기 할인되서 좋아요.
",뮤 지엄 파크 신안 벽화 정말 직원 박물관 조개 아이 더 곳 입장료 정원 볼 조경 부 내 패키지 수석 도 수석 어제 오늘 바람 오지 불어 못 박물관 아이,X,X,O,X,전라남도 신안군 자은서부2길 508-65,A02,A0202,A02020600
1,3.15해양누리공원,"마산에 들려 점심먹고 부산으로 가다가 급정거. 뭐지  뭐지??? 들려봐야겠다하고 왔는데 오, 멋지더군요. 규모도 크고 바다를 가로지르는 신비한?다리하며 공원 조성이 규모도 그렇고 정갈하달까? 마산 시민들은 행복하겠어요란 생각이 들더라고요. 굳굳.☺️
3.15해양누리공원 바닷가에서 가까워서 산책하기 좋고 바다뷰가 최고입니다 사랑하는 연인과 가족 등 함께 걸으뮌 볼거리 너무 많아요 바람이 많이 불어서 요즘 연날리기 동호회 다양한 연을 볼수 있답니다. 아이들이 마음껏 뛰어 놀수 있는곳
바다 보며 산책하기 넘나 좋은곳
좋아요 바다도 멋진다리도 보고 돌섬도
바닷바람 내음을 보다 가까이 향유하고자 걸음을 바닷가로 내딛어 보았다. 해안도로 건너 편은 또 다른 세상으로 나를 안내하였다. 바로 '아름다운 스포츠 세상' 이다. 시민들은 새롭게 조성된 해양체육공 원을 마치 신상품인양 소비하느라 바쁘다. 시민들은 쉴 틈 없이 신체를 소비하고 있다. 가족, 친구, 연인 들과 걸으면서 못다 한 담소를 나눈다. 자전거 두 바퀴가 힘차게 돌아가는 모습, 쫓기듯 질주하는 러너, 반려동물과 산책하는 모습, 코트를 누비는 테니스장의 청년들, 응원찬 목소리의 길거리 농구와 풋살 적어도 내 눈에는 아름다워 보인다. 바로 3.15해양누리공원에 비춰진 아름다운 스포츠의 광경이다. 늦은 밤 나의 하루일상을 마감하는데 더없이 좋은 장소였다. 내일도 이곳에서 하루일상을 마무리할까한다.
마산 3.15해양누리공원에서 바라곤 야경이 너무 좋아요
국화 축제가 개최되었던 장소 인 만큼 경치가 좋습니다 특히 저 다리 위에서 바라보는 바다 풍경은 절경이에요. 근처에 공사하는 곳이 있는데 언젠가 해양 신도시를 개발 중이라네요
걷기도 좋고
버스킹도 있고
넓고
좋아요!
누리해양공원 정말 시민들한테 유익하고
멋져요
국화축제가 진행되는 가운데 금요일 저녁8시에
불꽃축제가 시작되어서 화려하고 멋진 장면들~",바다 공원 누리 해양 다리 곳 바 산책 바람 장소 시민 마산 모습 소비 조성 세상 산책 청년 코트 목소리 해양 바로 스포츠 뭐 곳 근처 광경 중이 버스킹 요,O,X,O,X,경상남도 창원시 마산합포구 월남동1가,A02,A0202,A02020700
2,5·18 기념공원,"1) 주차및 교통적으로 잘되어있음
2) 반려동물과 함께산책및 운동하기에 좋음
3) 안에 무각사라는 사찰이있어서 부처님오신날에가보시거나 혹은 무각사안에카페이용하셔도괜찮다
4)근처에 상무지구와 쌍촌동으로 나뉘어서 술집및 맛집및 카페에이용하시면될것같습니다
5) 아쉬운건 화장실이 있긴한데 공용이라 좀 리모델링해서 좀더 쾌척하고 안심이되는 화장실 운영 해주셨으면좋겠음 
- 운천저수지에서는 화장실이 경보음이났엇는데 여긴그런건없어서 위험감지요소가 없어서 그게매우아쉽지만급한볼일볼거면괜찮다
6) 기념관도있다보니 그안에 이용해보실분은 해보셔도 괜찮을것같아요
7)아이들과함께산책하기도괜찮음

국공립유일어린이집 
숲놀이  이야기
민들레반

이런 더운 날씨에 그늘에서 산책도 할 수 있고,관리도 잘 되어있어서 너무 좋아요~
올때마다 강아지들 목줄 풀고 다니는데 신고못해서 안하는거 아니니까 목줄하고 다니세요 좀 
방송나올때만 잠깐 차고  방송안나오면 바로풀지마시고들
좋아요
굿
쉬다 갑니다
좋아요",및 화장실 산책 좀 목줄 풀 무 카페 때 안 및 산책 화장실 때 풀 방송 안 무 좀 카페 화장실 및 산책 카페 목줄 좀 무 방송 안 때,O,X,O,X,광주광역시 서구 내방로 152,A02,A0202,A02020700
3,5·18 자유공원,"대기실이 넓고 아늑합니다  무엇보다 척추관협착증으로 광주 정형외과 몇 군데 가서 못낫고 익산에 원광대 정형외과에 명의가 계신다해서 주사요법으로 진료받다가 못낫고 MRI까지 찍고 시술하자하고 날 받았다가 개인적 사정으로 취소하고 5년이 지났습니다 

갑자기 통증이 악화되어 걷기가 힘들어져서 둘째딸이 검색해준 서울상무정형외과에 최승우 원장님께 진료를 받았는데 2주 간격으로 세번 주사맞고 한달뒤에 오라고 했는데 완쾌받았습다

저는 정년하고 농사일을 좀 하고 있는데 무리만 하지 않으면 재발도 없을거라 합니다 협착증도 여러가지겠지만 척추관협착증으로 고생하시는 분은 광주 상무지구 세정아을렛 옆에있는 서울상무정형외과 최승우 원장님을 한 번 만나보세요 도움이 될겁니다
최원장님 감사합니다.


자유여
편해요
처음 가봤응데 완전 친절하세오ㅠㅠ 그리고 애호박찌개랑 스테이크랄 부채살까지 서비스 ㅜㅜㅜ 너무 배터지게 먹었어요ㅠㅠ🤍🤍🤍🤍완전 강추!!! 저 믿고 가주세요ㅎㅎ 완전 존맛탱이에요❤️❤️
주차하기 편해요
편해요
집앞 마트
주차하기 편해요
편해요
자유를 위하여",정형외과 협착증 원장 진료 광주 상무 최승우 척추관 서울 세번 완전 자유 배 응데 강추 랄 처음 스테이크 서비스 부채살 주차 저 위 존맛탱 마트 집앞 자유 완전 협착증 정형외과,X,X,X,X,광주광역시 서구 상무평화로 13,A02,A0202,A02020700
4,PTP 애견테마파크,"
굿
첫방문인데 너무맘에드네요~ 넓어서 뛰어놀기 좋아요~
강아지들 데리고 주기적으로 방문해요 
견주입장료 따로 음료입장료 따로 받았는데 
다시 처음 시스템으로 돌아왔어요 (8/22~)

🔸애견입장료 + 1인1음료 . 견주입장료X🔸

이제 견주입장료 안받아요 ❌

익산에서 제일넓고 쾌적하고 강아지들 실컷뛰어놀수있어서 너무 좋아요
옆에 공간까지 확장예정이시라니 더욱 기대가 큽니다
오늘 한가하니 실컷 뛰어놀다 갈게요♥️

익산근방포함 제일넓고 사장님부부도 너무 친절하세요
카페 내.외부도 항상 보수하셔서 쾌적하고
수영장이있어서 강아지들 놀기 더없이 좋은거같아요
음료도맛있고 견주입장료없이 강아지들 입장료만 내고 커피한잔마시니 이보다 합리적일 수 있을까싶어요
연휴직후 방문이라 한산하고 강아지들과 딸래미데리고 힐링합니다
애견입장료가 다른 애견카페보다 비싼편이긴한데 전에 방문했을때보다 많이 리모델링되서 괜찮은거 같아요~실외에서 놀고있다가 갑자기 비가 쏟아져서 실내로 들어갈수도있어요!
잔디 넓고 강쥐 뛰어놀기 좋습니다
최악이네요.
손님들이 왜없는지 알거같네요.
첫째.
카페의 위치를 탓하는 게 아니라 외곽에 있기에 정보를 네이버 지도로 보고 오는 분들이 많을 텐데도 불구하고 정보 업데이트가 상당히 늦는다는 점을 지적한 거입니다.
둘째.
경기영향에 따라 가격 변동은 당연한 말씀이지요 그런데 어느 사업체가 가격을 두 배 이상으로 한 번에 올릴까요. 설령 그렇게 올렸다 하였다면 정보 업데이트는 필수 아닐까요
셋째.
직원의 태도에 불만이 있는 게 아니라 교육이 안 되어있는 점을 말씀드린 겁니다.
직원이 무슨 죄가 있겠습니까 아무 대책 없이 가격을 두배 이상 올려 불만 있는 소비자를 상대해야 하는데 말이죠.
넷째.
4,500평 사용 가능하니 충분한 공간이라는 말씀이신 거 같은데 전북최대규모라는 말은 아니지요?
전부 핑계로만 보이네요
긋
긋",입장료 가격 정보 음료 말씀 방문 거 게 점 이상 요 업데이트 필수 설령 강쥐 잔디 최악 로만 전부 핑계 입장료 강아지 견 카페 애견 거 방문 불만 직원 익산,X,X,X,X,전북특별자치도 익산시 진북로 294-18,A02,A0202,A02020600
5,PTP애견테마파크,"
굿
첫방문인데 너무맘에드네요~ 넓어서 뛰어놀기 좋아요~
강아지들 데리고 주기적으로 방문해요 
견주입장료 따로 음료입장료 따로 받았는데 
다시 처음 시스템으로 돌아왔어요 (8/22~)

🔸애견입장료 + 1인1음료 . 견주입장료X🔸

이제 견주입장료 안받아요 ❌

익산에서 제일넓고 쾌적하고 강아지들 실컷뛰어놀수있어서 너무 좋아요
옆에 공간까지 확장예정이시라니 더욱 기대가 큽니다
오늘 한가하니 실컷 뛰어놀다 갈게요♥️

익산근방포함 제일넓고 사장님부부도 너무 친절하세요
카페 내.외부도 항상 보수하셔서 쾌적하고
수영장이있어서 강아지들 놀기 더없이 좋은거같아요
음료도맛있고 견주입장료없이 강아지들 입장료만 내고 커피한잔마시니 이보다 합리적일 수 있을까싶어요
연휴직후 방문이라 한산하고 강아지들과 딸래미데리고 힐링합니다
애견입장료가 다른 애견카페보다 비싼편이긴한데 전에 방문했을때보다 많이 리모델링되서 괜찮은거 같아요~실외에서 놀고있다가 갑자기 비가 쏟아져서 실내로 들어갈수도있어요!
잔디 넓고 강쥐 뛰어놀기 좋습니다
최악이네요.
손님들이 왜없는지 알거같네요.
첫째.
카페의 위치를 탓하는 게 아니라 외곽에 있기에 정보를 네이버 지도로 보고 오는 분들이 많을 텐데도 불구하고 정보 업데이트가 상당히 늦는다는 점을 지적한 거입니다.
둘째.
경기영향에 따라 가격 변동은 당연한 말씀이지요 그런데 어느 사업체가 가격을 두 배 이상으로 한 번에 올릴까요. 설령 그렇게 올렸다 하였다면 정보 업데이트는 필수 아닐까요
셋째.
직원의 태도에 불만이 있는 게 아니라 교육이 안 되어있는 점을 말씀드린 겁니다.
직원이 무슨 죄가 있겠습니까 아무 대책 없이 가격을 두배 이상 올려 불만 있는 소비자를 상대해야 하는데 말이죠.
넷째.
4,500평 사용 가능하니 충분한 공간이라는 말씀이신 거 같은데 전북최대규모라는 말은 아니지요?
전부 핑계로만 보이네요
긋
긋",정보 게 점 거 업데이트 말씀 분 탓 위치 텐데 입장료 음료 방문 이상 배 불만 직원 말 굿 처음 입장료 강아지 견 요 방문 애견 가격 거 카페 제일,X,X,X,X,전북특별자치도 익산시 삼기면 진북로 294-18,A02,A0202,A02020600
6,RI온천(RI온천호텔),"버블욕조라 아이가 재미있게 놀았어요
충주온천여행 재미있었어요 
욕조가 넓어요
강아지데리고 갈곳이 없어서 찾아간곳인데 사장님 너무 친절하시고 생각보다 방도 깨끗하고 물도 좋아서 힐링하고 갑니다^^
친절하고 가끔 가는곳
물은 좋은지 모르겠고..시설은 별루구요
따끈한 물에 몸 담그고 푹 쉬다 오기 좋은 곳이예요~~
친절하신 사장님께도 감사했어요~
ᆢ글쎄
에휴 가족탕 대실 3만원이라 좀 싼듯해서 갔는데 시설이 좀 아쉽더군요. 욕조랑 목욕탕은 그냥 괜찮았는데 방이 썰렁~~ 그래도 잘씻고 왔어요.
좋아요 친절해요
히노끼욕조 사용했는데 물때 곰팡이때가 ㅜ ㅜ",곳 물 욕조 시설 좀 사장 힐링 가끔 방도 여행 욕조 방이 그냥 썰렁 목욕탕 사용 때 곰팡이 히노끼 물때 욕조 물때 히노끼 곰팡이 때 사용 목욕탕 썰렁 그냥 방이,X,X,O,O,충청북도 충주시 수안보면 물탕2길 9,A02,A0202,A02020300
7,SPA 1899 동인비,"너무 실망이네요
4년전에 방문 했을땐 너무 만족해서 좋았던 기억에 재방문 했습니다 
힐링 하러 갔다가 오히려 더 스트레스가 쌓여서 갑니다
잘 해주시는 분으로 부탁드렸는데 전혀 반영이 안된듯하네요 
손길이 조심스럽지 않고 팍팍 하는 느낌에 세심한 케어 받는 느낌이 전혀 아니였고 오히려 기분이 불쾌했습니다 뭉친부분을 풀어주는게 아니라 테크닉만 하는 느낌이라 뭉친곳는 전혀 풀리지 않고 빠르고 대충하는 느낌이였습니다 오일로 너무 소량 도포하고 진행하셔서 살 쓸리는 느낌에 아프다고 좀 더 오일량을 해달라고 말씀드렸는데도 불구하고 똑같았습니다
단지 열심히 해주시는데 저랑 안맞는거였으면 기분은 불쾌하지 않았을텐데 그냥 대충인 느낌에 케어 받는 느낌이 전혀 없었습니다
기본은 알고 진행 해주셨으면 하는 느낌이였어요
full care 받았습니다. 결과적으론 만족하고 끝나고 꿀잠잤습니다
제가느낀 장점은 1. 오일 바디 마사지가 좋았음 마사지 압 강하게 부탁드렸는데 강하게 해야할 곳은 강하게, 약할때는 약하게 강약조절 잘 하시는 것 같았어요
2.끝나고 얼굴에 광이도는거 보고 깜놀

단점 1.스파 끝나고 어떤제품을 썼는지 팜플렛 제공해주시면 좋을거같아요. 나중에 구매에 도움이 될거같아요 ㅠㅠㅠ
2. 오일이나 크림을 입술에는 안발라주셔서 너무 건조했어요 후반부에는 립밤을 발라주시긴했지만, 관리전반부에는 건조함을 느꼈어요. 첨부터 립밤을 발라주시던가 관리할때 스쳐가듯 발라주심 좋을거같아요

오오 몸이 건강해진 것 같아요 또 받으러 가야겠어요
너무 친절하시고 분위기도 좋고 부모님께서도 만족하셨어요~!!
상품권만 우선 구입하러 갔는게 깔끔한 스파네요

다음엔 직접 받으러오고 싶어요
직원분들이 전체적으로 친절했고 세시간이 금방 갔어요ㅎㅎ머리 감겨주는게 여기 스파에 가장 큰 장점이 아닐까 싶더라구요^^
🏅🏅🏅

♡ Slow Aging C (300,000)

♥ 마사지 : 약한 압으로 받았는데 적당했고 원래 마사지 잘못 받으면 담날 근육통이 오는데 그런거 없이 잘 받았습니다.

♥ 친절도 : 직원분들이 너무 친절하셨고 메이크업하고 가게 되었는데 클렌징도 꼼꼼히 해주셔서 좋았습니다. 

♥ 내부 : 한국전통 컨셉의 스파라 그런지 전통적인 인테리어가 심신의 안정을 주는 아늑함이었고 마사지 받는 곳의 탈의실이 고객을 매우 생각한게 보이는 구조여서 좋았습니다. 

♥ 총평 : 연말이라 엄마 모시고 갔는데 엄마가 코골면서 주무실정도로 편하게 받았고 좋아하셨습니다. 다만 아쉬웠던 부분은 코로나시국에 가서 그런지 엎드려 마사지 받을때 코가 눌려서 숨이 안쉬어졌습니다.ㅜ 코로나 끝나고 다시 재방문하고 싶은 스파💆‍
집이나 직장 근처면 정말 자주 갈텐데 아쉬워요ㅠㅠ
항상 만족하고 관리 받고 있습니다!! 감사해요~
친절하시고 아주 좋아요
켈리 선생님께서 해주셨는데 정말 좋았어요 압도 적당하고 꼼꼼하고 세심하게 해주셔서 기분 좋게 마사지 받고 갑니다 :) 서비스로 주신 차도 맛있어요",마사지 때 것 압 오일 스파 곳 정말 얼굴 깜놀 스파 엄마 전통 코 마사지 코로나 관리 때 생각 연말 느낌 전혀 기분 방문 립밤 부 진행 케어 더 대충,O,X,X,X,서울특별시 강남구 영동대로 416,A02,A0202,A02020300
8,UN조각공원,"유엔기념공원 동문 쪽에 위치.
2001년 4월 9일부터 조성하기 시작하여 2001년 10월 24일 준공하였다. 전체 15,458㎡ 면적에 한국전쟁50주년 특별기획 유엔기념공원 국제조각 심포지엄에 참여한 6.25참전 21개국의 조각가들이 제작한 34점의 조각품을 기증받아 전시하고 있다. 
un공원 너무 평화롭고 한적하고 우리나라를 위해 몸바쳐 싸우신 호국영령분들께 너무감사한 시간이었습니다
부산 남구 UN공원 주변에 위치한 UN조각공원!! 평화공원과 대연수목원과 연계하여 산책하기 좋은 곳이에요.
겹벚꽃도 보고 자연 뷰가 너무 예뻤어요
다음에도 가야겠어요
공원이 한적하고 걷기 좋게 조성되어 있습니다. 문화회관, 박물관과 연결되어 있어 구경거리도 많아 가족단위로 피크닉을 즐기기에도 괜찮은 곳입니다. 
다양한 조각 작품들을 보며 산책하기 좋았음. 
낮에는 새들과 🌞 해님이 방긋방긋
밤에는 불빛과 더불어 자연이 푸릇푸릇
언제와도 조각공원의 작품들과
어우러진 자연이 너무 예쁩니다♡
산책하기 좋아요.",곳 조성 자연 가족 피크닉 박물관 위로 기기 즐 회관 공원 조각 산책 자연 유엔 평화 기념 위치 작품 기증 준공 시작 조성 곳 동문 쪽 작품 산책 공원 수목원,O,X,X,X,부산광역시 남구 대연동,A02,A0202,A02020700
9,W지우리조트,"지인들과 모임이 있어 이곳 W지우리조트 를 예약 했어요 
강가 근처에는 별도의 바베큐 장이 마련되어 있어서 
숙소에는 음식 냄새가 나지않아 좋네요
침대도 크고
아늓해서
잠도 잘 잤어요
당황스러운것은
현관문 열자마자
월플욕조가 보여서 
어~~~ 이게 뭐지~? 싶었는데 
바깥쪽 풍경을 바라보라는 뜻이겠지요 ㅎㅎ
로비 직원분들도 친절하시고
숙소도 조용하고
아침 조식도 별 무리없이 잘 먹었습니다 
어찌됐든 
잘 놀고
잘 자고
잘 먹고 왔습니다 
다음번에도 다시 가고싶네요

깨끗하고 편안하게 지내다왔어요  애도 좋아하고 날씨도 좋긴했는데 복층도 따뜻하고 잘있다왔네요. 
프라이빗해서 좋았어용.

좋아요 
여직원의 친절에 감사해는데
룸에 지네종류의 벌레가 나오고
눈이 내렸는데 아침에 리조트 직원 2~3명만 나와 제셀작업을 해서 저를 포함한 투숙객들이 나와 제설을 하느라 정신이 없옜고 승용차가 미끄러져 올라가지를 못하는 차량이 여러대 있어서 혼란스럽고 w지우리조트에 크게 실망했어요.
이용하려면 잘 파악해서 예약해야겠어요
이곳은 정말 뷰가 최고입니다
저렴한가격에 가족과 좋은시간 보냈어요
그냥 휴식과 음식 안해먹기때문에 불편함 없어요
수건 좀 부족한거같고 폴클런져,칫솔은 챙기셔야해요
원풀에서 리버뷰감상 좋았구요
저희는 3명인데 인원이 2인이 딱이예요 한명은 인원추가 만원에 침구추가 2만원 그리고 바닥에서 자야해요 
침대위로 물이 떨어져서 말씀드렸더니 바로 객실변경해주셨어요~
테라스앞이 바로 강이라서 뷰도 좋고,
그만큼 벌레는 어쩔 수 없는 부분같아요~
대체로 깨끗하고 전반적으로 만족합니다~
뷰가아주좋은  리조트였어요.., 
깔끔하고 잘 지내다 왔습니다...
굿
추석연휴에 가족들과 하룻밤 잘 지내고 왔습니다.
위치,  경치,  직원들 응대  모두 좋았습니다.
한가지 개선이 필요한 사항은
강주변이라 벌레, 거미등이 나오는건 이해 합니다만,
거실및 현관바닥에 개미가 엄청많이  나옵니다.
확인을 해보니 바닥과 걸레받이 나무사이 틈새에서 서식하며 사람을 귀찮게 했습니다.
거실바닥 걸레받이 틈새 방역후 실리콘으로 마감처리하면 좋을것 같습니다.
밤새도록 개미 엄청 잡고 왔습니다.
감사합니다.",리조트 직원 아침 숙소 지우 바깥쪽 풍경 번 무리 조식 뷰 바닥 명 인원 추가 가족 바로 틈새 걸레받이 침대 개미 거실 바닥 벌레 강 거미 이해 개선 사항 등,X,X,O,X,경기도 가평군 가평읍 북한강변로 970-9,A02,A0202,A02020200
