,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
0,,,38,,C01,C0114,C01140001,1885246,25,20140115021222,http://tong.visitkorea.or.kr/cms/resource/37/853137_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/853137_image3_1.jpg,Type3,127.0119150269,35.1843194658,7,20230810103334,7,,가사문학의 향을 따라가는 가사문학로드,
1,강원특별자치도 속초시 중앙로147번길 12,(중앙동),32,,C01,C0114,C01140001,2680214,25,20201103223744,http://tong.visitkorea.or.kr/cms/resource/19/2596319_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2596319_image3_1.jpg,Type3,128.5906247984,38.2040435685,6,20230809125641,5,,가슴 탁 트이는 속초여행,24832
2,,,36,,C01,C0114,C01140001,1968165,25,20141127013100,http://tong.visitkorea.or.kr/cms/resource/57/882957_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/882957_image3_1.jpg,Type3,128.8731114595,35.2323441779,5,20230809112847,4,,가야 유적지의 데이트하기 좋은 곳,
3,전라남도 목포시 영산로29번길 6,,38,,C01,C0114,C01140001,2916281,25,20221123162103,http://tong.visitkorea.or.kr/cms/resource/17/2706017_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2706017_image3_1.jpg,Type3,126.3821193361,34.7873731725,6,20221208161107,8,,가을 바다를 즐길 수 있는 목포 1박2일 여행 코스,58729
4,충청남도 홍성군 홍성읍 아문길 27,,34,,C01,C0114,C01140001,2677792,25,20201021231807,http://tong.visitkorea.or.kr/cms/resource/76/2678976_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/76/2678976_image2_1.bmp,Type3,126.6607874390,36.6013713629,6,20230810094152,15,,가을 홍성을 즐기는 방법,32228
5,,,31,,C01,C0114,C01140001,2514028,25,20171103202428,http://tong.visitkorea.or.kr/cms/resource/17/1589717_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/1589717_image3_1.jpg,Type3,127.3584173556,37.0653607848,,20230808165859,16,,가을은 향기로운 허브와 맑은 공기로 몸과 마음을 채우자,
6,인천광역시 강화군 남문안길20번길 8,,2,,C01,C0114,C01140001,2961651,25,20230411112439,http://tong.visitkorea.or.kr/cms/resource/82/2616982_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2616982_image3_1.jpg,Type3,126.4848944278,37.7457829284,6,20230510193522,1,,"가족, 연인이 함께 즐길 수 있는 문화 체험 여행 코스",23035
7,세종특별자치시  수목원로 136 국립세종수목원,,8,,C01,C0114,C01140001,2932743,25,20221214111757,http://tong.visitkorea.or.kr/cms/resource/25/2724225_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2724225_image3_1.jpg,Type3,127.2857090051,36.4986579981,6,20221214111814,,,가족여행으로 떠나기 좋은 세종 1박2일 여행 코스,30106
8,,,37,,C01,C0114,C01140001,2381376,25,202401181743,http://tong.visitkorea.or.kr/cms/resource/83/1741183_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/1741183_image3_1.jpg,Type3,127.3974372999,35.6910909667,6,20240118174312,14,,간판 하나로 유명해진 원촌마을,
9,강원특별자치도 강릉시 창해로14번길 20-1,(견소동),32,,C01,C0114,C01140001,2721490,25,20210616201606,,,,128.9473504054,37.7726505813,6,20230712154847,1,,강릉으로 별보러 가자,25556
