,name,rate,review
0,가고파 꼬부랑길 벽화마을,,"여기 추천하는 사람은 손절하세요. 흉물중에 흉물이에요. 벽화 관리 안되어서 갈라지고 떨어지고 지워지고 가지각색으로 흉물입니다. 게다가 꽤 많은 집들이 폐가라 폐가 좋아하는 분들은 좋아할지도 모르겠어요. 이래놓고 가볼만한곳이라고 홍보하는 창원시 관광과 사람들은 여기 와봤으려나 모르겠어요. 창원에서 나고자랐지만 창원관광 1도 없는거 이렇게 또 내시간들여서 깨닫고 가네요

여기 갈 바에 그냥 부산 영도 가시는거 추천.. 천천히 걸어도 5분내외에 마을안에 카페나 가게같은것도 없어서 볼것도 쉴것도 없어요.

할거없어서 여기와봤는데 진짜 여긴 아니에요"
1,가우도 모노레일,,"가우도에 위치한 짚트랙을 타려고 모노레일 탑승! 가격이 너무 착해서 놀랐음(왕복 성인 2,000원). 30인승 차량 2대가 붙어서 같이 운행되고 가는데 5분 정도 걸렸어요. 4인용 의자가 앞뒤로 놓여있고 천장에는 히터도 켜져있어 완전 따뜻했어요. 배차간격은 15분이라고만 되어있고 정확한 시각은 없음. 그냥 사람 있으면 태우고 가는 느낌! 그리고 짚트랙 안타고 다시 모노레일로 내려오실 분들은 꼭! 승차권 소지해야해요(왕복티켓임). 날이 뿌해서 맑은 경치는 아니었지만 바다가 내려다보이고 짚트랙을 탈 수 있어서 기분이 상쾌했어요. 그리고 매표소 건물 앞에는 굴을 캐서 파시는 분들도 있는데 못사와서 아쉬웠음."
2,가우도 모노레일,,"왕복 1인당 2천원인데
걷는거 좋아하면 그냥 가도 될 거 같아요
시간 여유 있으신 분들은 섬 전체 돌아도 좋구요
경치 바다 좋네요"
3,가우도 모노레일,,"우연히  지나가다고   간곳  가우도 
모노레일타고  정상까지  올라갈 수  있어요 
모노레일  왕복비용은  어른 3000원  
내려올때는  걸어서  내려왔는데  내려오는  시간도  30분 정도  걸림  
둘레길  걷는데  30분 정도면 걷는것 같아요  
아  빠른걸음 ㅋㅋㅋ  "
4,가우도 모노레일,,"너무 친절하십니다.
한바퀴 돌기에 좋아요~^^"
5,가우도 모노레일,,편하게 올라갈 수 있지요
6,가우도 모노레일,,"가우도 모노레일타고  편하게  올라가 

가우도  힐링산책했는데 너무나 좋네요"
7,가우도 모노레일,,바다를한눈으로 보면서 경치를조니 너무 아름답고 시원합니다
8,가우도 모노레일,,강진 가우도의 모노레일타고 전망대에 오르니 사방으로 조망이 참 좋으네오
9,가우도 모노레일,,
10,가우도 모노레일,,바다가 보여요~
11,갈중이(천연염색체험),,예쁜 소품이 많아요.
12,갈중이(천연염색체험),,천연염색이라서 넘 이뻐요.
13,갈중이(천연염색체험),,가격도 저렴한데 너무 귀여워🧡
14,갈중이(천연염색체험),,ㅛㅠ
15,갈중이(천연염색체험),,제주갈옷과모자소품들이전시되어있어요 천연염색체험마당도있어요
16,갈중이(천연염색체험),,제주 갈옷 명가. 일부러 찾아가서 주문...사이즈가... 색상이...맞는것을 차았지만 ...결국 몸 사이즈에 맞게수선. 언제 도찫나려나.. 잘 부탁드립니다.~^^
17,갈중이(천연염색체험),,좋아요
18,갈중이(천연염색체험),,친절해요
19,갈중이(천연염색체험),,올때마다 아이 옷 한벌씩 사가고는 해요 여름에 시원하게 입을 수 있어서 좋아요!
20,갈중이(천연염색체험),,비싸다ㅠㅠ
21,갓바위 문화타운,,아름다운 갓바위 산책로
22,갓바위 문화타운,,안전하고 접근성이 좋아요
23,갓바위 문화타운,,
24,강릉 복사꽃마을,,"4월에는 복사꽃축제를 했다는 장덕리 복사꽃마을입
니다. 코로나 여파로 축제를 못햤는데 마을 어르신들
이 이제는 힘에 부처 축제를 안하신다고 들었..."
25,강릉 복사꽃마을,,
26,강릉안반데기관광농원,,사모님 친절하시고 깨끗이 관리하세요
27,강릉안반데기관광농원,,별보기 좋은 곳
28,강릉안반데기관광농원,,굿
29,강릉안반데기관광농원,,굿
30,강릉안반데기관광농원,,굿
31,강릉안반데기관광농원,,굿
32,강릉안반데기관광농원,,굿
