,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
0,,,35,,C01,C0115,C01150001,1949308,25,20140920023325,http://tong.visitkorea.or.kr/cms/resource/96/1002896_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/1002896_image3_1.jpg,Type3,128.2572187514,35.7230665416,4,20230810112020,3,,가야의 고대문화가 잠든 고령 땅을 밟다,
1,,,36,,C01,C0115,C01150001,1908287,25,20140326223540,http://tong.visitkorea.or.kr/cms/resource/45/1611245_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/1611245_image3_1.jpg,Type3,128.8731114595,35.2323441779,8,20230809161340,4,,가야의 자취를 따라 길을 걷다,
2,,,31,,C01,C0115,C01150001,2568556,25,20181122011533,,,,126.6890709905,37.7166316086,6,20230811092245,27,,감성이 꿈틀꿈틀 파주 여행,
3,,,32,,C01,C0115,C01150001,2390089,25,20160625022505,http://tong.visitkorea.or.kr/cms/resource/06/2363006_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2363006_image3_1.jpg,Type3,128.8776814918,37.7787651808,6,20230810110544,1,,강릉의 대표 유적지 오죽헌을 걷다.,
4,,,38,,C01,C0115,C01150001,2385665,25,20160530180953,http://tong.visitkorea.or.kr/cms/resource/48/2372848_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2372848_image3_1.jpg,Type3,126.7462228308,34.5790442458,6,20230811141302,1,,"강진, 천재 실학자 다산을 만나러 가는 길",
5,,,2,,C01,C0115,C01150001,1886027,25,20140117003255,http://tong.visitkorea.or.kr/cms/resource/38/1577838_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/1577838_image2_1.jpg,Type3,126.5320377338,37.6318692610,8,20230811102808,1,,강화도 비운의 역사길을 걷다,
6,,,2,,C01,C0115,C01150001,1909304,25,20140329003305,,,,126.2459246635,37.6459348327,6,20230809161931,1,,강화도 조용한 운치를 따라 능묘로 가는 길,
7,,,1,,C01,C0115,C01150001,1952962,25,20140930022536,http://tong.visitkorea.or.kr/cms/resource/81/1075281_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/1075281_image3_1.jpg,Type3,126.9768042386,37.5760725520,6,20230810143506,23,,경복궁 북쪽마을 북촌 즐기기,
8,,,31,,C01,C0115,C01150001,2568627,25,20181122015627,http://tong.visitkorea.or.kr/cms/resource/29/2364829_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2364829_image3_1.jpg,Type3,126.7402169396,37.8903900312,6,20230808165110,27,,경의선 타고 평양여행을 꿈꾸다,
9,,,32,,C01,C0115,C01150001,1852913,25,20131023015947,http://tong.visitkorea.or.kr/cms/resource/58/179558_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/179558_image3_1.jpg,Type3,0,0,,20230809100205,1,,경포호를 따라 조선시대를 만나다,
10,,,31,,C01,C0115,C01150001,2037277,25,20151030200702,http://tong.visitkorea.or.kr/cms/resource/13/2033113_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2033113_image3_1.jpg,Type3,127.4889582500,37.9356678129,6,20230809093503,1,,계곡미가 빼어난 가평의 단풍 명소,
11,,,33,,C01,C0115,C01150001,2011639,25,20150623194210,http://tong.visitkorea.or.kr/cms/resource/83/213783_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/213783_image3_1.jpg,Type3,127.8576784710,37.0460026654,6,20230808152201,11,,고구려의 역사가 깃든 충주로 떠나는 역사 여행,
12,,,37,,C01,C0115,C01150001,1865179,25,202401181743,http://tong.visitkorea.or.kr/cms/resource/98/1196798_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/1196798_image3_1.jpg,Type3,127.7429735364,35.8919603707,,20240118174312,5,,곤도라를 타고 오르는 덕유산 향적봉,
13,,,5,,C01,C0115,C01150001,2011494,25,20150622195500,http://tong.visitkorea.or.kr/cms/resource/32/741832_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/741832_image3_1.jpg,Type3,126.8338490284,35.1207264135,6,20230811103319,5,,광주 서구 8경 중 4경을 찾아 떠나는 여행,
14,,,5,,C01,C0115,C01150001,1888896,25,20140124001440,http://tong.visitkorea.or.kr/cms/resource/22/1559322_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/1559322_image3_1.jpg,Type3,126.9701895569,35.1287000370,7,20230811102955,3,,"국립공원의 막내, 무등산을 오르다",
15,,,5,,C01,C0115,C01150001,2358008,25,20161231185552,http://tong.visitkorea.or.kr/cms/resource/95/1587495_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/1587495_image3_1.jpg,Type3,126.9158941142,35.1382980355,6,20230809101720,,,근현대를 넘나드는 100년 여행,
16,,,35,,C01,C0115,C01150001,1855884,25,20131106000528,http://tong.visitkorea.or.kr/cms/resource/30/1067030_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/1067030_image3_1.jpg,Type3,128.3129975360,36.1125067252,,20230808165216,4,,금빛까마귀가 살고 있는 금오산을 올라보자,
17,,,35,,C01,C0115,C01150001,1944360,25,20140827004502,,,,128.6838718063,36.2550362743,6,20230811140843,19,,금성산과 신비한 빙계계곡을 걷다,
18,,,1,,C01,C0115,C01150001,1951266,25,20140925013851,,,,127.0069353346,37.5581224015,6,20230809090758,24,,남산 자락 딸각발이를 만나러 가는 길,
19,,,1,,C01,C0115,C01150001,2022929,25,20150807202539,http://tong.visitkorea.or.kr/cms/resource/72/1782972_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/1782972_image3_1.jpg,Type3,126.9768292386,37.5759947835,6,20230809091409,99,,"낮이 좋아? 밤이 좋아? 서울의 주경, 야경 여행코스",
20,,,38,,C01,C0115,C01150001,1885232,25,20140115014228,http://tong.visitkorea.or.kr/cms/resource/17/1905517_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/1905517_image3_1.jpg,Type3,127.4849693764,35.3359854716,6,20230809090710,5,,노란 산수유꽃 가득한 포근한 봄여행,
